 
 
                          Case 1539302414925 (Pre)                               Start Time             End Time
 
                  Preparation Activities not included
Ultrasound configuration                           Ultrasound Preparation          23:01:24             23:02:17
Anatomic identification                                 Locate Structures          23:02:23             23:02:23
Compression identification                              Locate Structures          23:02:34             23:02:34
Gel in probe                                       Ultrasound Preparation          23:03:11             23:03:18
Cover probe                                        Ultrasound Preparation          23:09:43             23:11:12
Put sterile gel                                    Ultrasound Preparation          23:11:32             23:11:44
Anatomic identification                                 Locate Structures          23:12:00             23:12:00
Ultrasound configuration                           Ultrasound Preparation          23:12:06             23:12:13
Anesthetize                                               Venous puncture          23:14:25             23:14:31
Anatomic identification                                 Locate Structures          23:15:14             23:15:14
Puncture                                                  Venous puncture          23:15:20             23:17:36
Ultrasound configuration                           Ultrasound Preparation          23:15:45             23:16:04
Blood return                                              Venous puncture          23:17:39             23:17:39
Drop probe                                              Install Guidewire          23:17:45             23:17:45
Remove syringe                                          Install Guidewire          23:17:48             23:17:48
Guidewire install                                       Install Guidewire          23:18:04             23:18:18
Check wire in short axis                                Install Guidewire          23:18:28             23:18:31
Check wire in long axis                                 Install Guidewire          23:18:47             23:18:47
Remove trocar                                           Install Guidewire          23:19:02             23:19:08
Check wire in short axis                                Install Guidewire          23:19:18             23:19:32
Check wire in long axis                                 Install Guidewire          23:19:33             23:20:00
Widen pathway                                            Install Catheter          23:20:11             23:20:39
Advance catheter                                         Install Catheter          23:20:48             23:22:15
Remove guidewire                                         Install Catheter          23:22:15             23:22:17
Check flow and reflow                                    Install Catheter          23:22:22             23:22:39
Check catheter position                                  Install Catheter          23:22:54             23:22:54
 
Repeated Activity:    Ultrasound configuration                  3
Repeated Activity:    Anatomic identification                   3
Repeated Activity:    Check wire in short axis                  2
Repeated Activity:    Check wire in long axis                   2
 
 
                          Case 1539303857517 (Pre)                               Start Time             End Time
 
                  Preparation Activities not included
Position patient                                        Locate Structures          0:01:43               0:01:46
Cover probe                                        Ultrasound Preparation          0:08:47               0:11:56
Ultrasound configuration                           Ultrasound Preparation          0:08:57               0:09:41
Gel in probe                                       Ultrasound Preparation          0:09:29               0:09:33
Put sterile gel                                    Ultrasound Preparation          0:12:18               0:12:41
Position probe                                     Ultrasound Preparation          0:12:57               0:12:57
Ultrasound configuration                           Ultrasound Preparation          0:13:14               0:13:30
Anatomic identification                                 Locate Structures          0:13:33               0:14:17
Compression identification                              Locate Structures          0:14:18               0:14:28
Anesthetize                                               Venous puncture          0:14:52               0:15:03
Position probe                                     Ultrasound Preparation          0:15:14               0:15:14
Puncture                                                  Venous puncture          0:15:24               0:16:23
Blood return                                              Venous puncture          0:16:24               0:16:24
Drop probe                                              Install Guidewire          0:16:27               0:16:27
Remove syringe                                          Install Guidewire          0:16:39               0:16:59
Guidewire install                                       Install Guidewire          0:17:07               0:18:33
Remove trocar                                           Install Guidewire          0:18:35               0:18:42
Widen pathway                                            Install Catheter          0:18:55               0:19:07
Advance catheter                                         Install Catheter          0:19:11               0:20:46
Remove guidewire                                         Install Catheter          0:20:48               0:20:48
Check flow and reflow                                    Install Catheter          0:20:55               0:21:49
Check catheter position                                  Install Catheter          0:21:55               0:21:55
 
Repeated Activity:    Ultrasound configuration                  2
Repeated Activity:    Position probe                            2
 
 
                          Case 1539314415211 (Pre)                               Start Time             End Time
 
                  Preparation Activities not included
Ultrasound configuration                           Ultrasound Preparation          2:01:30               2:01:45
Gel in probe                                       Ultrasound Preparation          2:01:46               2:01:58
Ultrasound configuration                           Ultrasound Preparation          2:02:04               2:02:23
Cover probe                                        Ultrasound Preparation          2:09:27               2:10:51
Put sterile gel                                    Ultrasound Preparation          2:10:52               2:10:56
Position probe                                     Ultrasound Preparation          2:11:05               2:11:10
Anatomic identification                                 Locate Structures          2:11:27               2:11:58
Compression identification                              Locate Structures          2:12:21               2:12:24
Position probe                                     Ultrasound Preparation          2:13:11               2:13:11
Anesthetize                                               Venous puncture          2:13:19               2:13:38
Puncture                                                  Venous puncture          2:13:49               2:16:34
Blood return                                              Venous puncture          2:16:35               2:16:35
Drop probe                                              Install Guidewire          2:16:41               2:16:41
Puncture                                                  Venous puncture          3:17:00               3:18:00
Blood return                                              Venous puncture          3:18:02               3:18:02
Drop probe                                              Install Guidewire          3:18:04               3:18:04
Guidewire install                                       Install Guidewire          3:18:11               3:18:46
Position probe                                     Ultrasound Preparation          3:19:28               3:19:28
Puncture                                                  Venous puncture          3:19:43               3:20:27
Blood return                                              Venous puncture          3:20:29               3:20:29
Drop probe                                              Install Guidewire          3:20:32               3:20:32
